combination,alpha,steps,success_rate,strength,steering_score
reductio_vs_concession,5.0,1,0.85,2.65,0.4505
reductio_vs_concession,5.4,1,0.85,2.75,0.4675
reductio_vs_concession,5.8,1,0.9,3.15,0.5670000000000001
reductio_vs_concession,6.2,1,0.9,3.25,0.5850000000000001
reductio_vs_concession,6.6,1,0.85,3.35,0.5695
reductio_vs_concession,7.0,1,0.45,1.8,0.162
burden_vs_strawman,7.4,1,0.85,3.1,0.527
burden_vs_strawman,7.8,1,0.9,3.35,0.6030000000000001
burden_vs_strawman,8.2,1,0.85,3.2,0.544
burden_vs_strawman,8.6,1,0.9,3.5,0.63
burden_vs_strawman,9.0,1,0.9,3.45,0.6210000000000001
burden_vs_strawman,9.4,1,0.95,3.8,0.722
burden_vs_strawman,9.8,1,0.65,2.75,0.35750000000000004
burden_vs_strawman,10.2,1,0.7,3.0,0.42
burden_vs_reductio,7.4,1,0.0,0.5,0.0
burden_vs_reductio,7.8,1,0.0,0.0,0.0
reductio_vs_analogy,0.5,1,0.15,0.9,0.027
reductio_vs_analogy,1.0,1,0.25,1.25,0.0625
reductio_vs_analogy,1.4,1,0.3,1.5,0.09
reductio_vs_analogy,1.8,1,0.2,1.4,0.055999999999999994
reductio_vs_analogy,2.2,1,0.1,0.95,0.019000000000000003
reductio_vs_analogy,2.6,1,0.4,1.6,0.128
reductio_vs_analogy,3.0,1,0.2,1.3,0.052000000000000005
reductio_vs_analogy,3.4,1,0.15,1.1,0.033
reductio_vs_analogy,3.8,1,0.15,1.35,0.0405
reductio_vs_analogy,4.2,1,0.1,1.1,0.022000000000000006
reductio_vs_analogy,4.6,1,0.3,1.45,0.087
reductio_vs_analogy,5.2,1,0.3,1.6,0.096
empirical_vs_reductio,7.4,1,0.0,0.0,0.0
empirical_vs_reductio,5.0,1,1.0,3.9,0.78
empirical_vs_reductio,5.4,1,0.75,3.4,0.51
empirical_vs_reductio,5.8,1,0.25,1.3,0.065
empirical_vs_reductio,6.2,1,0.0,0.0,0.0
burden_vs_reductio,5.0,1,1.0,3.95,0.79
burden_vs_reductio,5.4,1,0.95,3.95,0.7505
burden_vs_reductio,5.8,1,0.8,3.2,0.512
burden_vs_reductio,6.2,1,0.35,1.45,0.10149999999999999
burden_vs_reductio,6.6,1,0.2,0.95,0.038000000000000006
burden_vs_reductio,7.0,1,0.15,1.3,0.039
burden_vs_reductio,0.5,1,0.7,2.75,0.385
burden_vs_reductio,1.0,1,0.8,3.05,0.488
burden_vs_reductio,1.4,1,0.75,3.05,0.4575
burden_vs_reductio,1.8,1,0.8,3.2,0.512
burden_vs_reductio,2.2,1,0.75,2.9,0.43499999999999994
burden_vs_reductio,2.6,1,0.85,3.35,0.5695
burden_vs_reductio,3.0,1,0.85,3.35,0.5695
burden_vs_reductio,3.4,1,0.95,3.45,0.6555
burden_vs_reductio,3.8,1,1.0,3.8,0.76
burden_vs_reductio,4.2,1,1.0,4.0,0.8
burden_vs_reductio,4.6,1,1.0,4.0,0.8
burden_vs_reductio,5.2,1,1.0,3.9,0.78
reductio_vs_concession,7.4,1,0.0,0.2,0.0
reductio_vs_concession,7.8,1,0.05,0.15,0.0015
reductio_vs_concession,8.2,1,0.0,0.0,0.0
precedent_vs_burden,0.5,1,0.5,2.1,0.21000000000000002
precedent_vs_burden,1.0,1,0.9,3.45,0.6210000000000001
precedent_vs_burden,1.4,1,0.95,3.75,0.7124999999999999
precedent_vs_burden,1.8,1,1.0,4.0,0.8
precedent_vs_burden,2.2,1,0.95,3.85,0.7314999999999999
precedent_vs_burden,2.6,1,1.0,3.95,0.79
precedent_vs_burden,3.0,1,1.0,3.95,0.79
precedent_vs_burden,3.4,1,1.0,3.9,0.78
precedent_vs_burden,3.8,1,1.0,4.05,0.8099999999999999
precedent_vs_burden,4.2,1,0.95,3.8,0.722
precedent_vs_burden,4.6,1,0.9,3.65,0.657
precedent_vs_burden,5.2,1,0.95,3.8,0.722
reductio_vs_analogy,7.4,1,0.3,1.8,0.108
reductio_vs_analogy,7.8,1,0.4,2.35,0.18800000000000003
reductio_vs_analogy,8.2,1,0.7,2.9,0.40599999999999997
reductio_vs_analogy,8.6,1,0.85,3.4,0.578
reductio_vs_analogy,9.0,1,0.9,3.6,0.648
reductio_vs_analogy,9.4,1,0.95,3.75,0.7124999999999999
reductio_vs_analogy,9.8,1,1.0,3.95,0.79
reductio_vs_analogy,10.2,1,1.0,4.0,0.8
burden_vs_strawman,0.5,1,0.15,1.05,0.0315
burden_vs_strawman,1.0,1,0.25,1.2,0.06
burden_vs_strawman,1.4,1,0.2,1.05,0.04200000000000001
burden_vs_strawman,1.8,1,0.15,1.0,0.03
burden_vs_strawman,2.2,1,0.15,1.0,0.03
burden_vs_strawman,2.6,1,0.25,1.1,0.05500000000000001
burden_vs_strawman,3.0,1,0.25,1.3,0.065
burden_vs_strawman,3.4,1,0.4,1.55,0.124
burden_vs_strawman,3.8,1,0.2,1.35,0.054000000000000006
burden_vs_strawman,4.2,1,0.25,1.6,0.08
burden_vs_strawman,4.6,1,0.2,1.55,0.062
burden_vs_strawman,5.2,1,0.3,1.75,0.105
precedent_vs_burden,7.4,1,0.0,0.0,0.0
reductio_vs_concession,0.5,1,0.3,1.15,0.06899999999999999
reductio_vs_concession,1.0,1,0.15,0.7,0.020999999999999998
reductio_vs_concession,1.4,1,0.2,1.25,0.05
reductio_vs_concession,1.8,1,0.3,1.15,0.06899999999999999
reductio_vs_concession,2.2,1,0.45,1.75,0.1575
reductio_vs_concession,2.6,1,0.65,2.25,0.29250000000000004
reductio_vs_concession,3.0,1,0.65,2.35,0.30550000000000005
reductio_vs_concession,3.4,1,0.8,2.5,0.4
reductio_vs_concession,3.8,1,0.6,2.05,0.24599999999999997
reductio_vs_concession,4.2,1,0.75,2.35,0.35250000000000004
reductio_vs_concession,4.6,1,0.75,2.6,0.39
reductio_vs_concession,5.2,1,0.9,2.8,0.504
reductio_vs_analogy,5.0,1,0.2,1.35,0.054000000000000006
reductio_vs_analogy,5.4,1,0.3,1.65,0.09899999999999999
reductio_vs_analogy,5.8,1,0.3,1.65,0.09899999999999999
reductio_vs_analogy,6.2,1,0.2,1.55,0.062
reductio_vs_analogy,6.6,1,0.25,1.65,0.08249999999999999
reductio_vs_analogy,7.0,1,0.4,1.95,0.15600000000000003
precedent_vs_burden,5.0,1,1.0,4.0,0.8
precedent_vs_burden,5.4,1,0.9,3.8,0.684
precedent_vs_burden,5.8,1,0.75,3.2,0.48
precedent_vs_burden,6.2,1,0.15,0.9,0.027
precedent_vs_burden,6.6,1,0.05,0.2,0.002
precedent_vs_burden,7.0,1,0.0,0.0,0.0
burden_vs_strawman,5.0,1,0.3,1.75,0.105
burden_vs_strawman,5.4,1,0.3,1.9,0.11399999999999999
burden_vs_strawman,5.8,1,0.3,1.75,0.105
burden_vs_strawman,6.2,1,0.45,1.8,0.162
burden_vs_strawman,6.6,1,0.7,2.45,0.343
burden_vs_strawman,7.0,1,0.75,2.95,0.44250000000000006
empirical_vs_reductio,0.5,1,0.3,2.05,0.12299999999999998
empirical_vs_reductio,1.0,1,0.35,1.9,0.13299999999999998
empirical_vs_reductio,1.4,1,0.6,2.5,0.3
empirical_vs_reductio,1.8,1,0.7,2.85,0.399
empirical_vs_reductio,2.2,1,0.9,3.45,0.6210000000000001
empirical_vs_reductio,2.6,1,0.95,3.5,0.6649999999999999
empirical_vs_reductio,3.0,1,1.0,3.95,0.79
empirical_vs_reductio,3.4,1,1.0,4.0,0.8
empirical_vs_reductio,3.8,1,0.95,3.9,0.741
empirical_vs_reductio,4.2,1,1.0,4.0,0.8
empirical_vs_reductio,4.6,1,1.0,3.9,0.78
empirical_vs_reductio,5.2,1,1.0,3.8,0.76
